Test angle: 90
Node_A_151 coordinates: initialX | initialY | initialZ 
75.0000 | 0.0000 | 0.0000 | 
Node_B_1051 coordinates: initialX | initialY | initialZ 
-75.0000 | 0.0000 | 0.0000 | 
Node_C_606 coordinates: initialX | initialY | initialZ 
0.0000 | 5.0000 | 0.0000 | 
Node_D_1256 coordinates: initialX | initialY | initialZ 
0.0000 | -5.0000 | 0.0000 | 
  UA1  |  UA2  |  UA3 | UB1 | UB2 | UB3 | UC1 | UC2 | UC3 | UD1 | UD2 | UD3 
3.7741 | -0.0050 | -0.0000 | 0.6871 | -0.0047 | 0.0000 | 2.2306 | -0.0424 | 0.0000 | 2.2306 | 0.0327 | -0.0000 | 
3.8508 | -0.0051 | -0.0000 | 0.7009 | -0.0047 | 0.0000 | 2.2759 | -0.0432 | 0.0000 | 2.2758 | 0.0334 | -0.0000 | 
3.9274 | -0.0051 | -0.0000 | 0.7148 | -0.0048 | 0.0000 | 2.3211 | -0.0440 | 0.0000 | 2.3211 | 0.0342 | -0.0000 | 
4.0041 | -0.0051 | 0.0000 | 0.7287 | -0.0048 | -0.0000 | 2.3664 | -0.0448 | 0.0000 | 2.3663 | 0.0349 | -0.0000 | 
4.0807 | -0.0051 | 0.0000 | 0.7425 | -0.0048 | -0.0000 | 2.4116 | -0.0456 | 0.0000 | 2.4116 | 0.0356 | -0.0000 | 
4.1573 | -0.0052 | 0.0000 | 0.7564 | -0.0048 | -0.0000 | 2.4569 | -0.0464 | 0.0000 | 2.4568 | 0.0364 | -0.0000 | 
4.2340 | -0.0052 | 0.0000 | 0.7702 | -0.0049 | -0.0000 | 2.5021 | -0.0472 | 0.0000 | 2.5021 | 0.0371 | -0.0000 | 
4.3106 | -0.0052 | 0.0000 | 0.7841 | -0.0049 | -0.0000 | 2.5474 | -0.0479 | 0.0000 | 2.5473 | 0.0379 | -0.0000 | 
4.3873 | -0.0052 | 0.0000 | 0.7980 | -0.0049 | 0.0000 | 2.5926 | -0.0487 | 0.0000 | 2.5926 | 0.0386 | -0.0000 | 
4.4639 | -0.0052 | 0.0000 | 0.8118 | -0.0049 | -0.0000 | 2.6379 | -0.0495 | 0.0000 | 2.6379 | 0.0394 | -0.0000 | 
4.5406 | -0.0052 | 0.0000 | 0.8257 | -0.0049 | 0.0000 | 2.6831 | -0.0502 | 0.0000 | 2.6831 | 0.0401 | -0.0000 | 
4.6172 | -0.0053 | -0.0000 | 0.8396 | -0.0049 | -0.0000 | 2.7284 | -0.0510 | 0.0000 | 2.7284 | 0.0409 | -0.0000 | 
4.6939 | -0.0053 | 0.0000 | 0.8535 | -0.0049 | 0.0000 | 2.7737 | -0.0518 | 0.0000 | 2.7737 | 0.0416 | -0.0000 | 
4.7705 | -0.0053 | -0.0000 | 0.8674 | -0.0049 | -0.0000 | 2.8190 | -0.0526 | 0.0000 | 2.8189 | 0.0423 | -0.0000 | 
4.8471 | -0.0054 | 0.0000 | 0.8813 | -0.0050 | -0.0000 | 2.8642 | -0.0534 | 0.0000 | 2.8642 | 0.0430 | -0.0000 | 
4.9237 | -0.0054 | -0.0000 | 0.8951 | -0.0050 | -0.0000 | 2.9095 | -0.0541 | 0.0000 | 2.9094 | 0.0438 | -0.0000 | 
