Test angle: 75
Node_A_151 coordinates: initialX | initialY | initialZ 
75.0000 | 0.0000 | 0.0000 | 
Node_B_1051 coordinates: initialX | initialY | initialZ 
-75.0000 | 0.0000 | 0.0000 | 
Node_C_606 coordinates: initialX | initialY | initialZ 
0.0000 | 5.0000 | 0.0000 | 
Node_D_1256 coordinates: initialX | initialY | initialZ 
0.0000 | -5.0000 | 0.0000 | 
  UA1  |  UA2  |  UA3 | UB1 | UB2 | UB3 | UC1 | UC2 | UC3 | UD1 | UD2 | UD3 
2.6333 | -0.0459 | 0.0000 | 0.4730 | 0.0375 | 0.0000 | 1.5722 | -0.0240 | -0.0000 | 1.5340 | 0.0156 | 0.0000 | 
2.7102 | -0.0468 | 0.0000 | 0.4865 | 0.0384 | 0.0000 | 1.6181 | -0.0246 | -0.0000 | 1.5787 | 0.0161 | 0.0000 | 
2.7872 | -0.0478 | -0.0000 | 0.5001 | 0.0393 | 0.0000 | 1.6639 | -0.0252 | -0.0000 | 1.6233 | 0.0166 | 0.0000 | 
2.8642 | -0.0488 | 0.0000 | 0.5136 | 0.0402 | 0.0000 | 1.7098 | -0.0258 | -0.0000 | 1.6680 | 0.0171 | 0.0000 | 
2.9412 | -0.0498 | -0.0000 | 0.5272 | 0.0410 | 0.0000 | 1.7556 | -0.0264 | -0.0000 | 1.7127 | 0.0176 | 0.0000 | 
3.0181 | -0.0507 | -0.0000 | 0.5407 | 0.0419 | 0.0000 | 1.8015 | -0.0270 | -0.0000 | 1.7574 | 0.0182 | 0.0000 | 
3.0951 | -0.0516 | -0.0000 | 0.5543 | 0.0427 | -0.0000 | 1.8473 | -0.0276 | -0.0000 | 1.8020 | 0.0187 | 0.0000 | 
3.1720 | -0.0524 | 0.0000 | 0.5679 | 0.0436 | -0.0000 | 1.8931 | -0.0281 | -0.0000 | 1.8467 | 0.0193 | 0.0000 | 
3.2489 | -0.0533 | 0.0000 | 0.5814 | 0.0444 | 0.0000 | 1.9390 | -0.0287 | -0.0000 | 1.8914 | 0.0198 | 0.0000 | 
3.3259 | -0.0541 | 0.0000 | 0.5950 | 0.0453 | 0.0000 | 1.9848 | -0.0292 | -0.0000 | 1.9361 | 0.0204 | 0.0000 | 
3.4028 | -0.0550 | -0.0000 | 0.6086 | 0.0461 | 0.0000 | 2.0307 | -0.0298 | -0.0000 | 1.9807 | 0.0209 | 0.0000 | 
3.4798 | -0.0558 | -0.0000 | 0.6222 | 0.0469 | 0.0000 | 2.0765 | -0.0304 | -0.0000 | 2.0254 | 0.0215 | 0.0000 | 
3.5567 | -0.0567 | -0.0000 | 0.6358 | 0.0476 | 0.0000 | 2.1223 | -0.0310 | -0.0000 | 2.0701 | 0.0220 | 0.0000 | 
3.6336 | -0.0575 | 0.0000 | 0.6494 | 0.0484 | -0.0000 | 2.1682 | -0.0316 | -0.0000 | 2.1148 | 0.0225 | 0.0000 | 
3.7105 | -0.0583 | -0.0000 | 0.6630 | 0.0491 | 0.0000 | 2.2140 | -0.0322 | -0.0000 | 2.1595 | 0.0230 | 0.0000 | 
3.7875 | -0.0591 | -0.0000 | 0.6765 | 0.0499 | 0.0000 | 2.2598 | -0.0328 | -0.0000 | 2.2042 | 0.0236 | 0.0000 | 
3.8644 | -0.0598 | 0.0000 | 0.6901 | 0.0506 | 0.0000 | 2.3057 | -0.0333 | -0.0000 | 2.2488 | 0.0241 | 0.0000 | 
3.9413 | -0.0606 | -0.0000 | 0.7037 | 0.0514 | 0.0000 | 2.3515 | -0.0339 | -0.0000 | 2.2935 | 0.0246 | 0.0000 | 
4.0182 | -0.0613 | 0.0000 | 0.7173 | 0.0521 | 0.0000 | 2.3973 | -0.0345 | -0.0000 | 2.3382 | 0.0252 | 0.0000 | 
4.0951 | -0.0621 | -0.0000 | 0.7309 | 0.0527 | -0.0000 | 2.4431 | -0.0350 | -0.0000 | 2.3829 | 0.0257 | 0.0000 | 
4.1720 | -0.0628 | 0.0000 | 0.7445 | 0.0535 | -0.0000 | 2.4890 | -0.0356 | -0.0000 | 2.4276 | 0.0263 | 0.0000 | 
4.2489 | -0.0635 | 0.0000 | 0.7581 | 0.0542 | 0.0000 | 2.5348 | -0.0362 | -0.0000 | 2.4723 | 0.0268 | 0.0000 | 
4.3259 | -0.0643 | -0.0000 | 0.7717 | 0.0549 | 0.0000 | 2.5806 | -0.0367 | -0.0000 | 2.5170 | 0.0273 | 0.0000 | 
4.4028 | -0.0649 | 0.0000 | 0.7853 | 0.0555 | 0.0000 | 2.6265 | -0.0373 | -0.0000 | 2.5616 | 0.0279 | 0.0000 | 
4.4797 | -0.0656 | 0.0000 | 0.7990 | 0.0562 | 0.0000 | 2.6723 | -0.0378 | -0.0000 | 2.6063 | 0.0284 | 0.0000 | 
4.5566 | -0.0663 | 0.0000 | 0.8126 | 0.0569 | -0.0000 | 2.7181 | -0.0384 | -0.0000 | 2.6510 | 0.0290 | 0.0000 | 
4.6335 | -0.0670 | 0.0000 | 0.8262 | 0.0575 | -0.0000 | 2.7640 | -0.0390 | -0.0000 | 2.6957 | 0.0295 | 0.0000 | 
4.7104 | -0.0677 | 0.0000 | 0.8398 | 0.0582 | 0.0000 | 2.8098 | -0.0396 | -0.0000 | 2.7404 | 0.0300 | 0.0000 | 
4.7873 | -0.0684 | -0.0000 | 0.8534 | 0.0588 | -0.0000 | 2.8556 | -0.0401 | -0.0000 | 2.7851 | 0.0305 | 0.0000 | 
4.8642 | -0.0690 | -0.0000 | 0.8670 | 0.0594 | -0.0000 | 2.9014 | -0.0407 | -0.0000 | 2.8298 | 0.0311 | 0.0000 | 
4.9411 | -0.0697 | -0.0000 | 0.8806 | 0.0600 | 0.0000 | 2.9472 | -0.0413 | -0.0000 | 2.8745 | 0.0316 | 0.0000 | 
5.0180 | -0.0704 | 0.0000 | 0.8942 | 0.0606 | -0.0000 | 2.9930 | -0.0419 | -0.0000 | 2.9192 | 0.0321 | 0.0000 | 
5.0949 | -0.0710 | 0.0000 | 0.9078 | 0.0612 | 0.0000 | 3.0389 | -0.0425 | -0.0000 | 2.9639 | 0.0326 | 0.0000 | 
5.1718 | -0.0716 | 0.0000 | 0.9214 | 0.0618 | 0.0000 | 3.0847 | -0.0430 | -0.0000 | 3.0086 | 0.0332 | 0.0000 | 
5.2487 | -0.0722 | 0.0000 | 0.9350 | 0.0623 | 0.0000 | 3.1305 | -0.0436 | -0.0000 | 3.0532 | 0.0337 | 0.0000 | 
5.3256 | -0.0728 | 0.0000 | 0.9487 | 0.0629 | 0.0000 | 3.1763 | -0.0441 | -0.0000 | 3.0979 | 0.0343 | 0.0000 | 
5.4025 | -0.0734 | 0.0000 | 0.9623 | 0.0635 | 0.0000 | 3.2221 | -0.0447 | -0.0000 | 3.1426 | 0.0348 | 0.0000 | 
5.4794 | -0.0740 | 0.0000 | 0.9759 | 0.0641 | 0.0000 | 3.2680 | -0.0452 | -0.0000 | 3.1873 | 0.0354 | 0.0000 | 
5.5563 | -0.0745 | 0.0000 | 0.9895 | 0.0647 | 0.0000 | 3.3138 | -0.0458 | -0.0000 | 3.2320 | 0.0359 | 0.0000 | 
5.6332 | -0.0751 | 0.0000 | 1.0031 | 0.0653 | 0.0000 | 3.3596 | -0.0463 | -0.0000 | 3.2767 | 0.0365 | 0.0000 | 
5.7102 | -0.0757 | 0.0000 | 1.0167 | 0.0658 | 0.0000 | 3.4054 | -0.0469 | -0.0000 | 3.3214 | 0.0370 | 0.0000 | 
5.7871 | -0.0763 | 0.0000 | 1.0303 | 0.0664 | 0.0000 | 3.4513 | -0.0474 | -0.0000 | 3.3661 | 0.0375 | 0.0000 | 
5.8640 | -0.0769 | 0.0000 | 1.0439 | 0.0670 | 0.0000 | 3.4971 | -0.0480 | -0.0000 | 3.4108 | 0.0380 | 0.0000 | 
5.9409 | -0.0775 | 0.0000 | 1.0575 | 0.0675 | 0.0000 | 3.5429 | -0.0486 | -0.0000 | 3.4555 | 0.0386 | 0.0000 | 
6.0178 | -0.0781 | 0.0000 | 1.0711 | 0.0680 | 0.0000 | 3.5887 | -0.0491 | -0.0000 | 3.5002 | 0.0391 | 0.0000 | 
6.0947 | -0.0786 | 0.0000 | 1.0847 | 0.0685 | 0.0000 | 3.6345 | -0.0497 | -0.0000 | 3.5449 | 0.0396 | 0.0000 | 
6.1716 | -0.0792 | 0.0000 | 1.0983 | 0.0690 | 0.0000 | 3.6803 | -0.0503 | -0.0000 | 3.5896 | 0.0401 | 0.0000 | 
6.2485 | -0.0798 | 0.0000 | 1.1119 | 0.0695 | 0.0000 | 3.7261 | -0.0509 | -0.0000 | 3.6343 | 0.0406 | 0.0000 | 
6.3254 | -0.0803 | 0.0000 | 1.1255 | 0.0700 | 0.0000 | 3.7719 | -0.0514 | -0.0000 | 3.6790 | 0.0411 | 0.0000 | 
6.4023 | -0.0808 | 0.0000 | 1.1391 | 0.0705 | 0.0000 | 3.8178 | -0.0520 | -0.0000 | 3.7237 | 0.0417 | 0.0000 | 
6.4793 | -0.0813 | 0.0000 | 1.1527 | 0.0710 | 0.0000 | 3.8636 | -0.0526 | -0.0000 | 3.7684 | 0.0422 | 0.0000 | 
6.5562 | -0.0818 | 0.0000 | 1.1663 | 0.0715 | 0.0000 | 3.9094 | -0.0531 | -0.0000 | 3.8131 | 0.0428 | 0.0000 | 
6.6331 | -0.0823 | 0.0000 | 1.1799 | 0.0720 | -0.0000 | 3.9552 | -0.0536 | -0.0000 | 3.8578 | 0.0433 | 0.0000 | 
6.7100 | -0.0828 | 0.0000 | 1.1935 | 0.0725 | 0.0000 | 4.0010 | -0.0542 | -0.0000 | 3.9025 | 0.0438 | 0.0000 | 
6.7870 | -0.0833 | 0.0000 | 1.2071 | 0.0730 | -0.0000 | 4.0468 | -0.0547 | -0.0000 | 3.9472 | 0.0444 | 0.0000 | 
6.8639 | -0.0838 | 0.0000 | 1.2207 | 0.0735 | 0.0000 | 4.0926 | -0.0553 | -0.0000 | 3.9919 | 0.0449 | 0.0000 | 
6.9408 | -0.0843 | -0.0000 | 1.2343 | 0.0739 | 0.0000 | 4.1384 | -0.0558 | -0.0000 | 4.0366 | 0.0455 | 0.0000 | 
7.0177 | -0.0848 | 0.0000 | 1.2478 | 0.0744 | 0.0000 | 4.1842 | -0.0564 | -0.0000 | 4.0814 | 0.0460 | 0.0000 | 
7.0947 | -0.0853 | 0.0000 | 1.2614 | 0.0749 | 0.0000 | 4.2301 | -0.0569 | -0.0000 | 4.1261 | 0.0465 | 0.0000 | 
7.1716 | -0.0858 | 0.0000 | 1.2750 | 0.0754 | 0.0000 | 4.2759 | -0.0575 | -0.0000 | 4.1708 | 0.0471 | 0.0000 | 
7.2486 | -0.0863 | 0.0000 | 1.2886 | 0.0759 | 0.0000 | 4.3217 | -0.0580 | -0.0000 | 4.2155 | 0.0476 | 0.0000 | 
7.3255 | -0.0868 | -0.0000 | 1.3022 | 0.0764 | 0.0000 | 4.3675 | -0.0586 | -0.0000 | 4.2602 | 0.0481 | 0.0000 | 
7.4024 | -0.0873 | 0.0000 | 1.3158 | 0.0768 | 0.0000 | 4.4133 | -0.0591 | -0.0000 | 4.3049 | 0.0487 | 0.0000 | 
7.4794 | -0.0877 | -0.0000 | 1.3293 | 0.0772 | 0.0000 | 4.4591 | -0.0597 | -0.0000 | 4.3496 | 0.0492 | 0.0000 | 
7.5563 | -0.0882 | 0.0000 | 1.3429 | 0.0777 | 0.0000 | 4.5049 | -0.0602 | -0.0000 | 4.3943 | 0.0497 | 0.0000 | 
7.6332 | -0.0887 | 0.0000 | 1.3565 | 0.0781 | 0.0000 | 4.5507 | -0.0608 | -0.0000 | 4.4390 | 0.0502 | 0.0000 | 
7.7102 | -0.0892 | 0.0000 | 1.3701 | 0.0785 | -0.0000 | 4.5965 | -0.0614 | -0.0000 | 4.4837 | 0.0507 | 0.0000 | 
7.7871 | -0.0896 | 0.0000 | 1.3836 | 0.0789 | 0.0000 | 4.6423 | -0.0619 | -0.0000 | 4.5284 | 0.0512 | 0.0000 | 
7.8641 | -0.0901 | 0.0000 | 1.3972 | 0.0794 | 0.0000 | 4.6881 | -0.0625 | -0.0000 | 4.5731 | 0.0518 | 0.0000 | 
7.9410 | -0.0905 | 0.0000 | 1.4107 | 0.0798 | 0.0000 | 4.7339 | -0.0630 | -0.0000 | 4.6178 | 0.0523 | 0.0000 | 
8.0180 | -0.0910 | 0.0000 | 1.4243 | 0.0802 | 0.0000 | 4.7797 | -0.0636 | -0.0000 | 4.6625 | 0.0528 | 0.0000 | 
8.0949 | -0.0914 | 0.0000 | 1.4379 | 0.0806 | 0.0000 | 4.8255 | -0.0641 | -0.0000 | 4.7072 | 0.0533 | 0.0000 | 
8.1719 | -0.0918 | 0.0000 | 1.4514 | 0.0810 | 0.0000 | 4.8713 | -0.0647 | -0.0000 | 4.7519 | 0.0539 | 0.0000 | 
8.2488 | -0.0922 | 0.0000 | 1.4649 | 0.0814 | 0.0000 | 4.9171 | -0.0652 | -0.0000 | 4.7966 | 0.0544 | 0.0000 | 
8.3258 | -0.0926 | 0.0000 | 1.4785 | 0.0818 | 0.0000 | 4.9630 | -0.0658 | -0.0000 | 4.8413 | 0.0549 | 0.0000 | 
8.4028 | -0.0931 | 0.0000 | 1.4920 | 0.0822 | 0.0000 | 5.0088 | -0.0663 | -0.0000 | 4.8861 | 0.0555 | 0.0000 | 
8.4798 | -0.0935 | 0.0000 | 1.5056 | 0.0826 | 0.0000 | 5.0546 | -0.0669 | -0.0000 | 4.9308 | 0.0560 | 0.0000 | 
8.5567 | -0.0939 | 0.0000 | 1.5191 | 0.0830 | 0.0000 | 5.1004 | -0.0674 | -0.0000 | 4.9755 | 0.0565 | 0.0000 | 
8.6337 | -0.0943 | 0.0000 | 1.5327 | 0.0834 | 0.0000 | 5.1462 | -0.0679 | -0.0000 | 5.0202 | 0.0571 | 0.0000 | 
8.7107 | -0.0947 | 0.0000 | 1.5462 | 0.0838 | 0.0000 | 5.1920 | -0.0685 | -0.0000 | 5.0649 | 0.0576 | 0.0000 | 
8.7877 | -0.0951 | 0.0000 | 1.5597 | 0.0842 | 0.0000 | 5.2378 | -0.0690 | -0.0000 | 5.1096 | 0.0581 | 0.0000 | 
8.8647 | -0.0955 | 0.0000 | 1.5733 | 0.0846 | 0.0000 | 5.2836 | -0.0696 | -0.0000 | 5.1543 | 0.0587 | 0.0000 | 
8.9416 | -0.0959 | 0.0000 | 1.5868 | 0.0850 | 0.0000 | 5.3294 | -0.0701 | -0.0000 | 5.1991 | 0.0592 | 0.0000 | 
9.0186 | -0.0963 | 0.0000 | 1.6003 | 0.0854 | 0.0000 | 5.3752 | -0.0706 | -0.0000 | 5.2438 | 0.0597 | 0.0000 | 
9.0956 | -0.0967 | 0.0000 | 1.6139 | 0.0858 | 0.0000 | 5.4210 | -0.0712 | -0.0000 | 5.2885 | 0.0603 | 0.0000 | 
9.1726 | -0.0971 | 0.0000 | 1.6274 | 0.0862 | 0.0000 | 5.4668 | -0.0717 | -0.0000 | 5.3332 | 0.0608 | 0.0000 | 
9.2496 | -0.0976 | 0.0000 | 1.6409 | 0.0866 | 0.0000 | 5.5126 | -0.0723 | -0.0000 | 5.3779 | 0.0613 | 0.0000 | 
9.3266 | -0.0980 | 0.0000 | 1.6545 | 0.0869 | 0.0000 | 5.5584 | -0.0728 | -0.0000 | 5.4226 | 0.0618 | 0.0000 | 
9.4036 | -0.0984 | 0.0000 | 1.6680 | 0.0873 | 0.0000 | 5.6042 | -0.0734 | -0.0000 | 5.4673 | 0.0623 | 0.0000 | 
9.4806 | -0.0988 | 0.0000 | 1.6815 | 0.0877 | 0.0000 | 5.6500 | -0.0739 | -0.0000 | 5.5121 | 0.0628 | 0.0000 | 
9.5576 | -0.0991 | 0.0000 | 1.6950 | 0.0880 | 0.0000 | 5.6958 | -0.0745 | -0.0000 | 5.5568 | 0.0634 | 0.0000 | 
9.6346 | -0.0995 | 0.0000 | 1.7085 | 0.0884 | 0.0000 | 5.7416 | -0.0750 | -0.0000 | 5.6015 | 0.0639 | 0.0000 | 
9.7116 | -0.0999 | 0.0000 | 1.7220 | 0.0888 | 0.0000 | 5.7874 | -0.0756 | -0.0000 | 5.6462 | 0.0644 | 0.0000 | 
9.7886 | -0.1003 | -0.0000 | 1.7355 | 0.0891 | 0.0000 | 5.8332 | -0.0761 | -0.0000 | 5.6909 | 0.0649 | 0.0000 | 
9.8656 | -0.1006 | -0.0000 | 1.7490 | 0.0895 | 0.0000 | 5.8790 | -0.0766 | -0.0000 | 5.7356 | 0.0655 | 0.0000 | 
